Time,Displacement
0.000,1.000
0.010,0.997
0.020,0.990
0.030,0.979
0.040,0.965
0.050,0.946
0.060,0.924
0.070,0.899
0.080,0.869
0.090,0.837
0.100,0.801
0.110,0.762
0.120,0.720
0.130,0.676
0.140,0.629
0.150,0.579
0.160,0.527
0.170,0.474
0.180,0.418
0.190,0.361
0.200,0.303
0.210,0.244
0.220,0.183
0.230,0.122
0.240,0.061
0.250,-0.000
0.260,-0.061
0.270,-0.122
0.280,-0.182
0.290,-0.242
0.300,-0.300
0.310,-0.357
0.320,-0.412
0.330,-0.466
0.340,-0.518
0.350,-0.568
0.360,-0.615
0.370,-0.660
0.380,-0.702
0.390,-0.741
0.400,-0.777
0.410,-0.810
0.420,-0.840
0.430,-0.867
0.440,-0.890
0.450,-0.909
0.460,-0.925
0.470,-0.937
0.480,-0.946
0.490,-0.950
0.500,-0.951
0.510,-0.948
0.520,-0.942
0.530,-0.932
0.540,-0.918
0.550,-0.900
0.560,-0.879
0.570,-0.855
0.580,-0.827
0.590,-0.796
0.600,-0.762
0.610,-0.725
0.620,-0.685
0.630,-0.643
0.640,-0.598
0.650,-0.551
0.660,-0.502
0.670,-0.451
0.680,-0.398
0.690,-0.344
0.700,-0.288
0.710,-0.232
0.720,-0.174
0.730,-0.117
0.740,-0.058
0.750,0.000
0.760,0.058
0.770,0.116
0.780,0.173
0.790,0.230
0.800,0.285
0.810,0.339
0.820,0.392
0.830,0.443
0.840,0.493
0.850,0.540
0.860,0.585
0.870,0.628
0.880,0.668
0.890,0.705
0.900,0.739
0.910,0.771
0.920,0.799
0.930,0.824
0.940,0.846
0.950,0.865
0.960,0.880
0.970,0.891
0.980,0.899
0.990,0.904
1.000,0.905
1.010,0.902
1.020,0.896
1.030,0.886
1.040,0.873
1.050,0.856
1.060,0.836
1.070,0.813
1.080,0.787
1.090,0.757
1.100,0.725
1.110,0.690
1.120,0.652
1.130,0.611
1.140,0.569
1.150,0.524
1.160,0.477
1.170,0.429
1.180,0.378
1.190,0.327
1.200,0.274
1.210,0.220
1.220,0.166
1.230,0.111
1.240,0.055
1.250,-0.000
1.260,-0.055
1.270,-0.110
1.280,-0.165
1.290,-0.219
1.300,-0.271
1.310,-0.323
1.320,-0.373
1.330,-0.422
1.340,-0.469
1.350,-0.514
1.360,-0.556
1.370,-0.597
1.380,-0.635
1.390,-0.671
1.400,-0.703
1.410,-0.733
1.420,-0.760
1.430,-0.784
1.440,-0.805
1.450,-0.823
1.460,-0.837
1.470,-0.848
1.480,-0.856
1.490,-0.860
1.500,-0.861
1.510,-0.858
1.520,-0.852
1.530,-0.843
1.540,-0.830
1.550,-0.814
1.560,-0.795
1.570,-0.773
1.580,-0.748
1.590,-0.720
1.600,-0.689
1.610,-0.656
1.620,-0.620
1.630,-0.582
1.640,-0.541
1.650,-0.498
1.660,-0.454
1.670,-0.408
1.680,-0.360
1.690,-0.311
1.700,-0.261
1.710,-0.210
1.720,-0.158
1.730,-0.105
1.740,-0.053
1.750,0.000
1.760,0.053
1.770,0.105
1.780,0.157
1.790,0.208
1.800,0.258
1.810,0.307
1.820,0.355
1.830,0.401
1.840,0.446
1.850,0.489
1.860,0.529
1.870,0.568
1.880,0.604
1.890,0.638
1.900,0.669
1.910,0.698
